title,date,abstract,DOI,source_url,authors,keywords,year,topic_ids,topic_names
"Let’s Ask Students About Their Programs, Automatically",20-21 May 2021,"Students sometimes produce code that works but that its author does not comprehend. For example, a student may apply a poorly-understood code template, stumble upon a working solution through trial and error, or plagiarize. Similarly, passing an automated functional assessment does not guarantee that the student understands their code. One way to tackle these issues is to probe students' comprehension by asking them questions about their own programs. We propose an approach to automatically generate questions about student-written program code. We moreover propose a use case for such questions in the context of automatic assessment systems: after a student's program passes unit tests, the system poses questions to the student about the code. We suggest that these questions can enhance assessment systems, deepen student learning by acting as self-explanation prompts, and provide a window into students' program comprehension. This discussion paper sets an agenda for future technical development and empirical research on the topic.",10.1109/ICPC52881.2021.00054,https://ieeexplore.ieee.org/document/9463046,"['Teemu Lehtinen', 'André L. Santos', 'Juha Sorva']","['active learning', 'assessment items', 'automatic assessment', 'automatic generation', 'automatic question generation', 'automatic system', 'education', 'intelligent tutoring systems', 'multiplechoice questions', 'plagiarism', 'probes', 'program code', 'program comprehension', 'program context', 'programming education', 'programming knowledge', 'proposals', 'selfexplanation', 'software', 'static analysis', 'student understanding', 'successful task performance', 'test failure', 'tutoring systems', 'unit tests', 'use of constructs']",2021,"[-1, 1]","['Ruído', 'Cenários de Uso']"
A Software Visualization Approach for Multiple Visual Output Devices,06-07 October 2024,"As software systems grow, environments that not only facilitate program comprehension through software visualization but also enable collaborative exploration of software systems become increasingly important. Most approaches to software visualization focus on a single monitor as a visual output device, which offers limited immersion and lacks in potential for collaboration. More recent approaches address augmented and virtual reality environments to increase immersion and enable collaboration to facilitate program comprehension. We present a novel approach to software visualization with software cities that fills a gap between existing approaches by using multiple displays or projectors. Thereby, an increase in screen real estate and new use case scenarios for co-located environments are enabled. Our web-based live trace visualization tool ExplorViz is extended with a service to synchronize the visualization across multiple browser instances. Multiple browser instances can then extend or complement each other's views with respect to a given configuration. The ARENA2, a spatially immersive visualization environment with five projectors, is used to showcase our approach. A preliminary study indicates that this environment can be useful for collaborative exploration of software cities. This publication is accompanied by a video. In addition, our implementation is open source and we invite other researchers to explore and adapt it for their use cases. Video URL: https://youtu.be/OiutBn3zIl8",10.1109/VISSOFT64034.2024.00020,https://ieeexplore.ieee.org/document/10794947,"['Malte Hansen', 'Heiko Bielfeldt', 'Armin Bernstetter', 'Tom Kwasnitschka', 'Wilhelm Hasselbring']","['2d space', '3d', '3d software', '3d visualization', 'browsers', 'city metaphor', 'cluster nodes', 'collaboration', 'collaborative interaction', 'configuration options', 'hardware configuration', 'hardware setup', 'headmounted display', 'immersive environment', 'interactive visualization', 'main nodes', 'monitoring', 'multiple devices', 'multiple outputs', 'program comprehension', 'projection matrix', 'projector', 'scientific visualization', 'single monitoring', 'software development', 'software systems', 'synchronization', 'system software', 'urban areas', 'use case scenarios', 'virtual camera', 'virtual reality', 'virtual reality devices', 'virtually', 'visual devices', 'visualization', 'visualization tool', 'web', 'webbased tool', 'webbased visualization', '—software visualization']",2024,"[-1, 1, 2]","['Ruído', 'Cenários de Uso', 'Fluxo de Controle & Grafos']"
Change-Patterns Mapping: A Boosting Way for Change Impact Analysis,16 February 2021,"Change impact analysis (CIA) is a specialized process of program comprehension that investigates the ripple effects of a code change in a software system. In this paper, we present a boosting way for change impact analysis via mapping the historical change-patterns to current CIA task in a cross-project scenario. The change-patterns reflect the coupling dependencies between changed entities in a change set. A traditional CIA tool (such as ImpactMiner) outputs an initial impact set for a starting entity. To boost the traditional CIA tool, our approach retrieves an equivalent entity from various historical change sets for the starting entity. Then, the change-patterns between the equivalent entity and the rest of entities in the change set are mapped to the CIA task at hand. For current CIA task, if an entity in the initial impact set involves the similar change-pattern with the starting entity when comparing with the mapped change-pattern, we will reward the impacted confidence of the entity. Accuracy improvements are observed in the experiments when applying our boosting method to three famous CIA tools, i.e., ImpactMiner, JRipples and ROSE.",10.1109/TSE.2021.3059481,https://ieeexplore.ieee.org/document/9354949,"['Yuan Huang', 'Jinyu Jiang', 'Xiapu Luo', 'Xiangping Chen', 'Zibin Zheng', 'Nan Jia']","['abstract syntax tree', 'analysis of the impact', 'average precision', 'average recall', 'boosting', 'boosting method', 'change impact analysis', 'changepatterns', 'class level', 'clone detection', 'code changes', 'coupling dependency', 'coupling relationship', 'couplings', 'current task', 'cutoff point', 'dotted circle', 'dynamic analysis', 'historical set', 'intersection over union', 'licenses', 'list of classes', 'part of the concept', 'precision and recall', 'random strategy', 'ranked list', 'rest of the class', 'ripple effect', 'semantic similarity', 'sequence of tokens', 'set of equations', 'set of papers', 'software', 'software systems', 'source code', 'static analysis', 'system software', 'task analysis', 'tools', 'variable levels']",2021,"[-1, 0, 1]","['Ruído', 'Dependência & Correlação', 'Cenários de Uso']"
Visualizing Complexity: A Dynamic Approach to Reverse Engineering,27-28 September 2024,"Reverse engineering extracts insights from code to reproduce systems or products, crucial for understanding legacy systems or updating outdated technology. This research emphasizes dynamic code visualization, overcoming the limitations of static analysis tools. Our solution enhances security and software development by improving understanding, documentation, debugging, and visualizing code execution flow, essential for identifying vulnerabilities and ensuring system integrity. Additionally, our tool generates UML-compliant class and sequence diagrams, providing a comprehensive view of both the static structure and dynamic behavior of the system.",10.1109/ACROSET62108.2024.10743279,https://ieeexplore.ieee.org/document/10743279,"['Ketki Balde', 'Lalji Prasad', 'Rashmi Yadav']","['aerodynamics', 'aging', 'class diagram', 'code analysis', 'codes', 'coding structure', 'complex software', 'customer experience', 'debugging', 'documentation', 'dynamic visualization', 'error detection', 'flow control', 'implementation of tools', 'interactive', 'java code', 'largescale development', 'parsing', 'processing software', 'registration process', 'reverse engineering', 'security vulnerabilities', 'sequence diagram', 'software development', 'software engineering', 'software maintenance', 'software product', 'software quality', 'source code', 'source coding', 'static analysis', 'static behavior', 'streamline', 'student journey', 'system design', 'systems architecture', 'technological innovation', 'visual representation', 'visualization']",2024,"[-1, 1]","['Ruído', 'Cenários de Uso']"
An Automatic Software Behavior Model Generation Method for Industrial Cyber-Physical System,20-23 July 2020,"Industrial Cyber-Physical Systems require more flexibility and resilience to meet the requirement of flexible manufacturing. Model-driven engineering methods are often linked with the development and deployment of distributed automation systems. However, most legacy systems currently do not have a system-level model or even source code, which hinders the maintenance of future-proof systems. With a huge amount of operation data collected by acquisition processes in the existing industrial systems, the system behavior model can be recovered but in an effective way. This paper proposes an automatic software behavior model recovery method based on data mining from industrial controllers. This method can recover and optimize the system models based on the state machines and largely reduce the computing power required for generating a system behavior state machine model. Finally, the proposed method was verified by the FSM model inferring and code generation using a color sorter example.",10.1109/INDIN45582.2020.9442085,https://ieeexplore.ieee.org/document/9442085,"['Weiqi Sun', 'Wenbin Dai']","['automatic model', 'behavioral model', 'code recovery', 'color sensor', 'computational modeling', 'correlated variables', 'cyberphysical systems', 'data mining', 'data models', 'decision rules', 'finite state machine fsm', 'functional blocks', 'huge amount of data', 'independent modules', 'industrial control', 'industrial control systems', 'industrial cyberphysical systems', 'industrial systems', 'machine model', 'maintenance engineering', 'manufacturing', 'model drive engineering', 'model driven engineering', 'model inference', 'model system', 'reverse engineering', 'reverse engineering re', 'software', 'source code', 'state machine', 'system state', 'transition conditions', 'transition state', 'truth table', 'variety of systems']",2020,"[-1, 0, 1]","['Ruído', 'Dependência & Correlação', 'Cenários de Uso']"
Using Large Language Models to Extract UML Class Diagrams from Java Programs,04-06 April 2025,"Many organizations rely on software systems to perform their core business operations. These systems often require modernization to accommodate new requirements and demands over time. Visual representations and diagrams help maintainers to understand these systems and to assist their maintenance and evolution. Reverse engineering is used to extract different representations of software systems, and the modeldriven engineering (MDE) approach can be used to assist the reverse engineering process, leading to model-driven reverse engineering (MDRE). Large Language Models (LLMs) are an advanced deep learning (DL) technology increasingly being applied in various domains. Despite this, the use of LLMs to extract diagrams from source code has rarely been used. In this paper, we introduce a novel MDRE framework, LLM4Models, that extracts UML class diagrams from Java source code files using LLMs. The paper also introduces a set of rules to extract UML class diagram representations. These rules have been implemented to create training data samples, which are then used to fine-tune the pre-trained LLM. Finally, the proposed framework is explained with an illustrative example and then evaluated.",10.1109/ICoSSE65712.2025.00020,https://ieeexplore.ieee.org/document/11087938,"['Hanan Abdulwahab Siala', 'Kevin Lano']","['abstract and concrete', 'class assignment', 'class diagram', 'dependent relationship', 'illustrative example', 'java', 'java code', 'java programming', 'java programs', 'large language models', 'large language models llms', 'legacy systems', 'machine learning', 'modeldriven reverse engineering mdre', 'programming language', 'reverse engineering', 'reversible process', 'sequence diagram', 'software systems', 'source code', 'source coding', 'syntactic', 'system software', 'systems engineering and theory', 'training', 'training data', 'unidirectional relationship', 'unified modeling language', 'unified modeling language uml', 'visualization']",2025,"[-1, 0, 1]","['Ruído', 'Dependência & Correlação', 'Cenários de Uso']"
Manual Abstraction in the Wild: A Multiple-Case Study on OSS Systems’ Class Diagrams and Implementations,01-06 October 2023,"Models are a useful tool for software design, analysis, and to support the onboarding of new maintainers. However, these benefits are often lost over time, as the system implementation evolves and the original models are not updated. Reverse engineering methods and tools could help to keep models and implementation code in sync; however, automatically reverse-engineered models are typically not abstract and contain extensive information that prevents understanding. Recent advances in AI-based content generation make it likely that we will soon see reverse engineering tools with support for human-grade abstraction. To inform the design and validation of such tools, we need a principled understanding of what manual abstraction is, a question that has received little attention in the literature so far.Towards this goal, in this paper, we present a multiple-case study of model-to-code differences, investigating five substantial open-source software projects retrieved via repository mining. To explore characteristics of model-to-code differences, we, all in all, manually matched 466 classes, 1352 attributes, and 2634 operations from source code to 338 model elements (classes, attributes, operations, and relationships). These mappings precisely capture the differences between a provided class diagram design and implementation codebase. Studying all differences in detail allowed us to derive a taxonomy of difference types and to provide a sorted list of cases corresponding to the identified types of differences. As we discuss, our contributions pave the way for improved reverse engineering methods and tools, new mapping rules for model-to-code consistency checks, and guidelines for avoiding over-abstraction and over-specification during design.",10.1109/MODELS58315.2023.00017,https://ieeexplore.ieee.org/document/10343882,"['Wenli Zhang', 'Weixing Zhang', 'Daniel Strüber', 'Regina Hebig']","['analytical models', 'class assignment', 'class diagram', 'code elements', 'code implementation', 'code version', 'codes', 'consistency checks', 'differences in type', 'image formation', 'inaccuracy', 'manual abstraction', 'manuals', 'model code', 'modeling', 'multiple case study', 'open source software projects', 'opensource projects', 'opinions of participants', 'project selection', 'refactoring', 'return type', 'reverse engineering', 'software design', 'source code', 'source coding', 'synchronization', 'taxonomy', 'technological tools']",2023,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Mapping features to source code based on execution trace,21-23 November 2021,"One of the important activities in software maintenance is to understand the software system before implementing any change in the software. Mapping software features to their relevant source code is one aspect of software comprehension. In this paper, we propose a full dynamic feature location technique to map the source code to the relevant functional features. The proposed solution aims to use execution trace to do the required mapping. The developer first uses a scenario to exercise a feature to generate the required execution trace. Second, the developer formulates a text query to describe the feature of interest in a natural language, to retrieve and rank the relevant methods from the generated execution trace. Distance software metrics are proposed to measure the distance between the raked methods. The solution is evaluated by using the ArgoUML Java case study to show the effectiveness of the proposed solution. The results of the evaluation show the accuracy of allocating methods in the source code to the related feature is increased by using the proposed methodology.",10.1049/icp.2022.0316,https://ieeexplore.ieee.org/document/9770600,"['F. Buzaid', 'M. Hammad']","['distance metrics', 'dynamic metrics', 'enterprise level', 'information retrieval', 'instrumentation', 'interesting feature', 'list of methods', 'natural language', 'original form', 'programming language', 'ranking method', 'relevant codes', 'relevant methods', 'sequence diagram', 'single trace', 'software features', 'software maintenance', 'source code', 'system software', 'term frequencyinverse document frequency', 'xml file', 'xml format']",2021,"[-1, 1]","['Ruído', 'Cenários de Uso']"
The Use of UML Diagrams to Enhance Dynamic Feature Location Techniques,20-21 November 2022,"Unified Modeling Language (UML) is an efficient technique that can be implemented to model and visualize an object-oriented system that suffers from lack or poor documentation. UML diagrams enhance the developers’ understanding the software system to apply software maintenance, software evaluation, or Dynamic Feature Location Techniques (DFLTs). The construction of UML diagrams is based on dynamic or static analysis. Dynamic analysis refers to collecting data when the system executes to generate execution traces, while static analysis refers to collecting the data from the source code. This paper implements UML diagrams in both directions, dynamic and static analysis, to enhance the software programmers applying DFLTs. A use case scenario diagram is used to specify the inputs of the DFLTs based on static analysis. In contrast, class diagrams and object diagrams are used to locate the required software artifacts of source code to construct the exercised feature based on dynamic analysis. Each created use case scenario generates an execution trace. The collected execution trace is analyzed to build class and object diagrams. The implemented case study illustrates the process of the proposed approach and shows that using UML diagrams increases the accuracy of applying DFLTs.",10.1109/3ICT56508.2022.9990768,https://ieeexplore.ieee.org/document/9990768,"['Faisal Buzaid', 'Fawzi Albalooshi', 'Wael Elmedany']","['automated teller machines', 'case scenario', 'class diagram', 'documentation', 'dynamic analysis', 'execution trace', 'feature location', 'feature location techniques', 'hierarchical view', 'instrumental techniques', 'number of objects', 'object oriented modeling', 'objectoriented', 'parse tree', 'partofspeech', 'programming language', 'proper nouns', 'regular expressions', 'set of stories', 'software comprehension', 'software development', 'software features', 'software maintenance', 'source code', 'source coding', 'static analysis', 'system software', 'technological innovation', 'text file', 'unified modeling language', 'unified modelling language', 'unified modelling language diagrams', 'use case scenarios', 'vector space model']",2022,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Assessing Semantic Frames to Support Program Comprehension Activities,20-21 May 2021,"Software developers often rely on natural language text that appears in software engineering artifacts to access critical information as they build and work on software systems. For example, developers access requirements documents to understand what to build, comments in source code to understand design decisions, answers to questions on Q&A sites to understand APIs, and so on. To aid software developers in accessing and using this natural language information, soft-ware engineering researchers often use techniques from natural language processing. In this paper, we explore whether frame semantics, a general linguistic approach, which has been used on requirements text, can also help address problems that occur when applying lexicon analysis based techniques to text associated with program comprehension activities. We assess the applicability of generic semantic frame parsing for this purpose, and based on the results, we propose SEFrame to tailor semantic frame parsing for program comprehension uses. We evaluate the correctness and robustness of the approach finding that SEFrame is correct in between 73% and 74% of the cases and that it can parse text from a variety of software artifacts used to support program comprehension. We describe how this approach could be used to enhance existing approaches to identify meaning on intention from software engineering texts.",10.1109/ICPC52881.2021.00011,https://ieeexplore.ieee.org/document/9462995,"['Arthur Marques', 'Giovanni Viviani', 'Gail C. Murphy']","['app reviews', 'authors of this paper', 'bug reports', 'correct frame', 'empirical software engineering', 'frame elements', 'lexical units', 'linguistics', 'mailing lists', 'meaning of the text', 'misclassification error', 'natural language', 'number of sentences', 'problem of finding', 'program comprehension', 'reliability engineering', 'requirements engineering', 'robustness', 'semantic', 'semantics', 'software', 'software development', 'software discussions', 'software engineering', 'software requirements', 'software systems', 'stack overflow', 'textual patterns', 'tools', 'types of artifacts', 'user reviews']",2021,"[-1, 1]","['Ruído', 'Cenários de Uso']"
On the Effectiveness of Large Language Models in Statement-level Code Summarization,01-05 July 2024,"Code comments are crucial for program comprehension, and the automated generation of comments greatly enhances the efficiency of code commenting. Statement-level code summarization represents the finest granularity of code summarization, typically encompassing explanations of the purpose and functionality of code statements. Large Language Models (LLMs) are deep learning models trained on massive text data. They possess not only the capability to generate natural language text but also to deeply understand the meaning of text, applicable to various natural language processing tasks such as text summarization, question answering, and translation. Currently, LLMs have demonstrated the ability to generate summaries for code. In this paper, we systematically investigate the capability of LLMs to generate statement-level code summaries. we construct a dataset for statement-level code summarization and evaluate the ability of large language models on statement-level code summarization. For further research, we investigate the impact of different prompting techniques. We also study the effect of the temperature parameter on the quality of generated summaries. Additionally, we compare large language models with the state-of-the-art pretrained model CodeT5 and find out that large language models have great potential to replace pre-trained models and become the new state-of-the-art models on statement-level code summarization. To ensure the reliability of automatic evaluation, we also conduct human evaluation. Our findings emphasize the transformative potential of LLMs on statement-level code summarization and the challenges yet to be overcome.",10.1109/QRS62785.2024.00030,https://ieeexplore.ieee.org/document/10684656,"['Jie Zhu', 'Yun Miao', 'Tingting Xu', 'Junwu Zhu', 'Xiaolei Sun']","['automatic evaluation', 'bar width', 'binary code', 'code blocks', 'code snippets', 'code summarization', 'codes', 'entire function', 'individual statements', 'language model', 'large language models', 'latent space', 'manual assessment', 'measurement', 'natural language', 'natural language processing tasks', 'pretrained language models', 'programming', 'programming language', 'quantum state', 'question answering information retrieval', 'relevant metrics', 'semantic similarity', 'software quality', 'source code', 'source code summarization', 'statementlevel code summarization', 'temperature parameters', 'text similarity', 'text summarization', 'video summarization']",2024,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Towards Understanding Machine Learning Testing in Practise,15-16 May 2023,"Visualisations drive all aspects of the Machine Learning (ML) Development Cycle but remain a vastly untapped resource by the research community. ML testing is a highly interactive and cognitive process which demands a human-in-the-loop approach. Besides writing tests for the code base, bulk of the evaluation requires application of domain expertise to generate and interpret visualisations. To gain a deeper insight into the process of testing ML systems, we propose to study visualisations of ML pipelines by mining Jupyter notebooks. We propose a two prong approach in conducting the analysis. First, gather general insights and trends using a qualitative study of a smaller sample of notebooks. And then use the knowledge gained from the qualitative study to design an empirical study using a larger sample of notebooks. Computational notebooks provide a rich source of information in three formats—text, code and images. We hope to utilise existing work in image analysis and Natural Language Processing for text and code, to analyse the information present in notebooks. We hope to gain a new perspective into program comprehension and debugging in the context of ML testing.",10.1109/CAIN58948.2023.00028,https://ieeexplore.ieee.org/document/10164773,"['Arumoy Shome', 'Luís Cruz', 'Arie van Deursen']","['ai engineering', 'codes', 'cognitive processes', 'computational notebooks', 'data mining', 'debugging', 'development cycle', 'image analysis', 'jupyter notebook', 'machine learning', 'machine learning models', 'machine learning pipeline', 'machine learning systems', 'machine learning testing', 'market research', 'natural language processing', 'new perspective', 'nlp for code', 'pipelines', 'research community', 'rich source of information', 'testing process', 'visualization', 'writing']",2023,"[-1, 1, 2]","['Ruído', 'Cenários de Uso', 'Fluxo de Controle & Grafos']"
Exploring Large Language Models for Method Name Prediction,01-05 July 2024,"High-quality method names are crucial for program comprehension and maintenance. However, method naming is a challenging task, especially for inexperienced developers. To alleviate this difficulty, various deep-learning techniques have been proposed to predict appropriate names for given method code bodies. The recent advent of Large Language Models (LLMs) has showcased outstanding performance in Natural Language Processing (NLP), leaving a profound impression on the software engineering (SE) community. LLMs have been applied to several SE tasks, e.g., code summarization, demonstrating their significant potential. However, there has not yet been a systematic and comprehensive investigation into how to adapt LLMs to method name prediction (MNP) tasks and their performance on such tasks. To fill this gap, in this paper, we conduct the first empirical study to understand the capabilities of LLMs in MNP tasks. Firstly, we examine LLMs’ comprehension abilities and interaction patterns in the MNP task, testing various prompts and temperature parameters. Results indicate that LLMs excel under 0 temperature and a few-shot prompt template. Following this, we compare the performance of prompt-guided LLMs and fine-tuned PLMs, with GPT-3.5 performing best among LLMs and CodeT5 leading among PLMs, with minimal performance disparity. SentenceBert with Cosine Similarity (SBCS) has been introduced to quantify the semantic differences between predicted and ground-truth names. Lastly, the manual review highlights human evaluations outperforming F1 metrics for LLMs, with issues such as global information lack and dataset quality affecting performance identified through case analysis.",10.1109/QRS62785.2024.00028,https://ieeexplore.ieee.org/document/10684588,"['Hanwei Qian', 'Tingting Xu', 'Ziqi Ding', 'Wei Liu', 'Shaomin Zhu']","['artificial neural network', 'code generation', 'code snippets', 'codes', 'comprehension ability', 'control flow graph', 'f1 score', 'fewshot learning', 'gpt35', 'language model', 'large language model', 'large language models', 'manuals', 'method name prediction', 'natural language', 'natural language processing', 'natural language understanding', 'precision and recall', 'pretrained language models', 'programming language', 'scenario description', 'semantic', 'semantics', 'software quality', 'systematics', 'types of models']",2024,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Message from NLBSE 2025 Program Chairs,27-28 April 2025,"Natural Language Processing (NLP) refers to the automated elaboration of human language, including both algorithms that take human-produced text as input and algorithms that produce natural-looking text as outputs. NLP is widely used to optimize many aspects of the software development process. Since natural language artifacts are used and reused during the software development life-cycle, the availability of natural language-based approaches and tools has led to improvements in the software process and product efficiency. Indeed, NLP approaches (including LLMs) have proven useful for retrieving key information from a wide range of structured or unstructured sources. Besides, they show promise for the automated generation of fine-grained source code documentation to ease program comprehension and maintenance activities. Literature has shown that many software engineering (SE)-related tasks can benefit from adopting NLP techniques. The main objective of the Natural Language-Based Software Engineering Workshop (NLBSE) is to bring together researchers and industrial practitioners from the NLP and SE communities to share experiences. Our workshop aims to provide directions for future research and encourage the development of increasingly effective NLP solutions for addressing SE-specific challenges.",10.1109/NLBSE66842.2025.00005,https://ieeexplore.ieee.org/document/11029441,"['Maliheh Izadi', 'Andrea Di Sorbo', 'Sebastiano Panichella']","['delft university of technology', 'industry practitioners', 'maintenance activities', 'natural language', 'natural language processing approaches', 'natural language processing techniques', 'processing software', 'requirements engineering', 'software artifacts', 'software development', 'software engineering']",2025,"[-1, 1]","['Ruído', 'Cenários de Uso']"
